	Frame	X pixels	Y pixels	Z pixels	
	0	1110	963.5	0	
	1	1110	963.383	0	
	2	1110	963.582	0	
	3	1110	963.422	0	
	4	1110	963.199	0	
	5	1110	963.285	0	
	6	1110	963.047	0	
	7	1110	962.781	0	
	8	1110	962.031	0	
	9	1110	961.672	0	
	10	1110	961.785	0	
	11	1110	961.73	0	
	12	1110	961.629	0	
	13	1110	961.191	0	
	14	1110	961.219	0	
	15	1110	961.309	0	
	16	1110	961.152	0	
	17	1110	961.188	0	
	18	1110	961.23	0	
	19	1110	961.387	0	
	20	1110	961.289	0	
	21	1110	961.234	0	
	22	1110	961.453	0	
	23	1110	961.715	0	
	24	1110	961.727	0	
	25	1110	961.582	0	
	26	1110	961.008	0	
	27	1110	961.09	0	
	28	1110	962.035	0	
	29	1110	962.703	0	
	30	1110	962.613	0	
	31	1110	962.344	0	
	32	1110	961.797	0	
	33	1110	961.266	0	
	34	1110	961.051	0	
	35	1110	960.637	0	
	36	1110	960.777	0	
	37	1110	960.773	0	
	38	1110	960.684	0	
	39	1110	960.664	0	
	40	1110	961.031	0	
	41	1110	961.293	0	
	42	1110	961.691	0	
	43	1110	961.574	0	
	44	1110	961.426	0	
	45	1110	961.543	0	
	46	1110	961.805	0	
	47	1110	961.859	0	
	48	1110	961.969	0	
	49	1110	961.789	0	
	50	1110	961.566	0	
	51	1110	961.27	0	
	52	1110	961.023	0	
	53	1110	960.762	0	
	54	1110	960.574	0	
	55	1110	960.465	0	
	56	1110	960.336	0	
	57	1110	960.199	0	
	58	1110	960.109	0	
	59	1110	959.977	0	
	60	1110	959.996	0	
	61	1110	960.055	0	
	62	1110	960.043	0	
	63	1110	960.34	0	
	64	1110	960.461	0	
	65	1110	960.348	0	
	66	1110	960.191	0	
	67	1110	959.891	0	
	68	1110	959.137	0	
	69	1110	958.629	0	
	70	1110	958.086	0	
	71	1110	957.676	0	
	72	1110	955.898	0	
	73	1110	954.836	0	
	74	1110	953.031	0	
	75	1110	951.766	0	
	76	1110	950.109	0	
	77	1110	949.098	0	
	78	1110	946.402	0	
	79	1110	944.898	0	
	80	1110	941.727	0	
	81	1110	940.609	0	
	82	1110	940.813	0	
	83	1110	940.871	0	
	84	1110	941.277	0	
	85	1110	941.328	0	
	86	1110	941.41	0	
	87	1110	941.613	0	
	88	1110	940.336	0	
	89	1110	940.191	0	
	90	1110	940.402	0	
	91	1110	940.676	0	
	92	1110	940.617	0	
	93	1110	940.594	0	
	94	1110	940.727	0	
	95	1110	941.016	0	
	96	1110	941.688	0	
	97	1110	941.797	0	
	98	1110	940.883	0	
	99	1110	940.898	0	
	100	1110	941.938	0	
	101	1110	943.781	0	
	102	1110	947.414	0	
	103	1110	949.617	0	
	104	1110	951.457	0	
	105	1110	952.324	0	
	106	1110	953.574	0	
	107	1110	954.906	0	
	108	1110	958.758	0	
	109	1110	959.805	0	
	110	1110	960.684	0	
	111	1110	961.332	0	
	112	1110	961.934	0	
	113	1110	961.598	0	
	114	1110	960.863	0	
	115	1110	960.652	0	
	116	1110	960.57	0	
	117	1110	961.133	0	
	118	1110	965	0	
	119	1110	967.941	0	
	120	1110	969.762	0	
	121	1110	970.973	0	
	122	1110	972.75	0	
	123	1110	972.387	0	
	124	1110	970	0	
	125	1110	968.039	0	
	126	1110	966.324	0	
	127	1110	964.805	0	
	128	1110	962.801	0	
	129	1110	961.734	0	
	130	1110	960.242	0	
	131	1110	959.426	0	
	132	1110	958.223	0	
	133	1110	958.035	0	
	134	1110	957.191	0	
	135	1110	956.836	0	
	136	1110	956.758	0	
	137	1110	956.328	0	
	138	1110	955.355	0	
	139	1110	954.434	0	
	140	1110	953.234	0	
	141	1110	952.77	0	
	142	1110	950.332	0	
	143	1110	949.215	0	
	144	1110	948.379	0	
	145	1110	947.453	0	
	146	1110	946.02	0	
	147	1110	944.262	0	
	148	1110	940.574	0	
	149	1110	940.84	0	
	150	1110	940.813	0	
	151	1110	940.848	0	
	152	1110	941.34	0	
	153	1110	942.027	0	
	154	1110	944.785	0	
	155	1110	946.164	0	
	156	1110	946.965	0	
	157	1110	947.664	0	
	158	1110	948.195	0	
	159	1110	949.105	0	
	160	1110	951.879	0	
	161	1110	953.988	0	
	162	1110	956.652	0	
	163	1110	958.254	0	
	164	1110	960.074	0	
	165	1110	960.66	0	
	166	1110	960.211	0	
	167	1110	960.176	0	
	168	1110	961.137	0	
	169	1110	962.453	0	
	170	1110	976.223	0	
	171	1110	979.328	0	
	172	1110	976.785	0	
	173	1110	976.789	0	
	174	1110	976.594	0	
	175	1110	974.762	0	
	176	1110	973.309	0	
	177	1110	973.621	0	
	178	1110	973.281	0	
	179	1110	973.281	0	
	180	1110	973.148	0	
	181	1110	973.656	0	
	182	1110	973.305	0	
	183	1110	973.176	0	
	184	1110	972.117	0	
	185	1110	971.902	0	
	186	1110	970.988	0	
	187	1110	970.703	0	
	188	1110	969.875	0	
	189	1110	969.406	0	
	190	1110	968.605	0	
	191	1110	967.867	0	
	192	1110	966.266	0	
	193	1110	964.609	0	
	194	1110	962.047	0	
	195	1110	960.324	0	
	196	1110	957.605	0	
	197	1110	956.336	0	
	198	1110	955.363	0	
	199	1110	955.098	0	
	200	1110	954.137	0	
	201	1110	953	0	
	202	1110	951.051	0	
	203	1110	948.855	0	
	204	1110	944.18	0	
	205	1110	941.992	0	
	206	1110	939.832	0	
	207	1110	938.766	0	
	208	1110	937.23	0	
	209	1110	936.285	0	
	210	1110	935.816	0	
	211	1110	935.645	0	
	212	1110	935.207	0	
	213	1110	935.035	0	
	214	1110	934.793	0	
	215	1110	934.438	0	
	216	1110	934.035	0	
	217	1110	933.621	0	
	218	1110	931.641	0	
	219	1110	930.344	0	
	220	1110	930.227	0	
	221	1110	930.422	0	
	222	1110	931.438	0	
	223	1110	932.371	0	
	224	1110	934.004	0	
	225	1110	934.332	0	
	226	1110	934.934	0	
	227	1110	935.125	0	
	228	1110	935.645	0	
	229	1110	936.438	0	
	230	1110	940.387	0	
	231	1110	943.648	0	
	232	1110	945.914	0	
	233	1110	946	0	
	234	1110	947.129	0	
