	Frame	X pixels	Y pixels	Z pixels	
	0	960	340.5	0	
	1	960	340.5	0	
	2	960	340.5	0	
	3	960	340.5	0	
	4	960	340.5	0	
	5	960	340.5	0	
	6	960	340.5	0	
	7	960	340.5	0	
	8	960	340.5	0	
	9	960	340.5	0	
	10	960	340.5	0	
	11	960	340.5	0	
	12	960	340.5	0	
	13	960	340.5	0	
	14	960	340.5	0	
	15	960	340.5	0	
	16	960	340.5	0	
	17	960	340.5	0	
	18	960	340.5	0	
	19	960	340.5	0	
	20	960	340.5	0	
	21	960	340.5	0	
	22	960	340.5	0	
	23	960	340.5	0	
	24	960	340.5	0	
	25	960	340.5	0	
	26	960	340.5	0	
	27	960	340.5	0	
	28	960	340.5	0	
	29	960	340.5	0	
	30	960	340.5	0	
	31	960	340.5	0	
	32	960	340.5	0	
	33	960	340.5	0	
	34	960	340.5	0	
	35	960	340.5	0	
	36	960	340.5	0	
	37	960	340.5	0	
	38	960	340.5	0	
	39	960	340.5	0	
	40	960	340.5	0	
	41	960	340.5	0	
	42	960	340.5	0	
	43	960	340.5	0	
	44	960	340.5	0	
	45	960	340.5	0	
	46	960	340.5	0	
	47	960	340.5	0	
	48	960	340.5	0	
	49	960	340.5	0	
	50	960	340.5	0	
	51	960	340.5	0	
	52	960	340.5	0	
	53	960	340.5	0	
	54	960	340.5	0	
	55	960	340.5	0	
	56	960	340.5	0	
	57	960	340.5	0	
	58	960	340.5	0	
	59	960	340.5	0	
	60	960	340.5	0	
	61	960	340.5	0	
	62	960	340.5	0	
	63	960	340.5	0	
	64	960	340.5	0	
	65	960	340.5	0	
	66	960	340.5	0	
	67	960	340.5	0	
	68	960	340.5	0	
	69	960	340.5	0	
	70	960	340.5	0	
	71	960	340.5	0	
	72	960	340.5	0	
	73	960	340.5	0	
	74	960	340.5	0	
	75	960	340.5	0	
	76	960	340.5	0	
	77	960	340.5	0	
	78	960	340.5	0	
	79	960	340.5	0	
	80	960	340.5	0	
	81	960	340.5	0	
	82	960	340.5	0	
	83	960	340.5	0	
	84	960	340.5	0	
	85	960	340.5	0	
	86	960	340.5	0	
	87	960	340.5	0	
	88	960	340.5	0	
	89	960	340.5	0	
	90	960	340.5	0	
	91	960	340.5	0	
	92	960	340.5	0	
	93	960	340.5	0	
	94	960	340.5	0	
	95	960	340.5	0	
	96	960	340.5	0	
	97	960	340.5	0	
	98	960	340.5	0	
	99	960	340.5	0	
	100	960	340.5	0	
	101	960	340.5	0	
	102	960	340.5	0	
	103	960	340.5	0	
	104	960	340.5	0	
	105	960	340.5	0	
	106	960	340.5	0	
	107	960	340.5	0	
	108	960	340.5	0	
	109	960	340.5	0	
	110	960	340.5	0	
	111	960	340.5	0	
	112	960	340.5	0	
	113	960	340.5	0	
	114	960	340.5	0	
	115	960	340.5	0	
	116	960	340.5	0	
	117	960	340.5	0	
	118	960	340.5	0	
	119	960	340.5	0	
	120	960	340.5	0	
	121	960	340.5	0	
	122	960	340.5	0	
	123	960	340.5	0	
	124	960	340.5	0	
	125	960	340.5	0	
	126	960	340.5	0	
	127	960	340.5	0	
	128	960	340.5	0	
	129	960	340.5	0	
	130	960	340.5	0	
	131	960	340.5	0	
	132	960	340.5	0	
	133	960	340.5	0	
	134	960	340.5	0	
	135	960	340.5	0	
	136	960	340.5	0	
	137	960	340.5	0	
	138	960	340.5	0	
	139	960	340.5	0	
	140	960	340.5	0	
	141	960	340.5	0	
	142	960	340.5	0	
	143	960	340.5	0	
	144	960	340.5	0	
	145	960	340.5	0	
	146	960	340.5	0	
	147	960	340.5	0	
	148	960	340.5	0	
	149	960	340.5	0	
	150	960	340.5	0	
	151	960	340.5	0	
	152	960	340.5	0	
	153	960	340.5	0	
	154	960	340.5	0	
	155	960	340.5	0	
	156	960	340.5	0	
	157	960	340.5	0	
	158	960	340.5	0	
	159	960	340.5	0	
	160	960	340.5	0	
	161	960	340.5	0	
	162	960	340.5	0	
	163	960	340.5	0	
	164	960	349.109	0	
	165	960	370.836	0	
	166	960	399.422	0	
	167	960	427.637	0	
	168	960	449.535	0	
	169	960	458.207	0	
	170	960	466.566	0	
	171	960	484.953	0	
	172	960	480.5	0	
	173	960	483.207	0	
	174	960	483.875	0	
	175	960	486.207	0	
	176	960	489.672	0	
	177	960	494.465	0	
	178	960	499.875	0	
	179	960	506.5	0	
	180	960	513.602	0	
	181	960	521.328	0	
	182	960	529.422	0	
	183	960	537.602	0	
	184	960	545.875	0	
	185	960	554.352	0	
	186	960	562.426	0	
	187	960	569.906	0	
	188	960	577.152	0	
	189	960	583.637	0	
	190	960	589.355	0	
	191	960	593.836	0	
	192	960	597.5	0	
	193	960	599.637	0	
	194	960	600.5	0	
	195	960	602.637	0	
	196	960	596.602	0	
	197	960	586.914	0	
	198	960	574.719	0	
	199	960	560.676	0	
	200	960	545.602	0	
	201	960	530.027	0	
	202	960	514.836	0	
	203	960	500.801	0	
	204	960	488.637	0	
	205	960	478.875	0	
	206	960	472.637	0	
	207	960	470.5	0	
	208	960	470.5	0	
	209	960	470.5	0	
	210	960	470.5	0	
	211	960	470.5	0	
	212	960	470.5	0	
